Santo Aroma Ltda,Rua João Pinheiro615,Centro,38010,040,Uberaba,MG
Padaria Padre Toledo,Rua Direita231,Centro Histórico,36325,000,Tiradentes,MG
Empório Casa da Annah Ltda,Alameda Michelangelo2427,Alphaville,06539390,Santana de Parnaíba,SP
Empório Liasch,Rua Cabo Oswaldo de Morais52,VILA RASMUSSEN,13466030,Americana,SP
Empório Canastra Premium,Rua Doutor Franco da Rocha477,Perdizes,05015040,São Paulo,SP
Casa Rinaldi,Avenida Santos Dumont140,Jardim Primavera,75860,000,Quirinópolis,GO
Olfato Café Ltda,Avenida Mato Grosso1787,Vila Rosa,79020200,Campo Grande,MS
Seleção do Erick,Avenida Engenheiro Francisco José Longo149,Jardim São Dimas,12245001,São José dos Campos,SP
Produtos de Minas Uai Ltda,Rua Azevedo Portugal421,Centro,85010200,Guarapuava,PR
Rudão,Avenida Borges de Medeiros3271,Centro,95670000,Gramado,RS
Buona Tavola,Rua Treze de Maio822,São Bento,95700058,Bento Gonçalves,RS
Empório Toscano,LAURO MULLER316,Centro,88600,000,São Joaquim,SC
MANA DE MINAS , QUEIJOS, DOCES E AFINS,Rua Lamartine Babo185,Jardim Pinhal,07120,110,Guarulhos,SP
Empório Azienda,Rua Cuiabá2805,Neva,85802233,Cascavel,PR
Café & Tudo,Rua Rodolfo Chermont318,Marambaia,66615170,Belém,PA
CACHACARIA CASA ANTIGA PARATY,Av Roberto da Silveira526,Centro,23970000,Paraty,RJ
Bitaca Lobato Eireli,Rua Rio de Janeiro882,Centro,35500009,Divinópolis,MG
CAFE HOUSE CAFETERIA ESPECIAL LTDA,RUA RAIMUNDO DA CONCEICAO TABIREZA113,Centro,42850000,Dias D'Ávila,BA
A Mercearia,Rua Marcos Mocellin50,Santa Felicidade,82020,510,Curitiba,PR
GRAO DO DIA DIGITAL LTDA,Alameda Fernão Cardim166,Jardim Paulista,01403020,São Paulo,SP
Empório Santo Queijo Cuiabá,Avenida Miguel Sutil9300,Santa Rosa,78040365,Cuiabá,MT
Grão Maria,Avenida Dezessete de Agosto1161,Casa Forte,52061540,Recife,PE
EMPÓRIO SOUMAIS BRASIL LTDA,Avenida Ator José Wilker600,Jacarepaguá,22775024,Rio de Janeiro,RJ
O MIO DO QUEIJO EIRELI,Rua Florindo Cibin3860,Parque das Nações,13470070,Americana,SP
VINDEMINAS GASTRONOMIA E DECORACAO LTDA ME,Rodovia Amaral Peixoto1174,Várzea das Moças,24330286,Niterói,RJ
Coisas da Terra,Avenida Benjamin Constant1204,Centro,69301020,Boa Vista,RR
EMPÓRIO EMANUEL COMÉRCIO DE QUEIJOS E IGUARIAS LTDA,SHA Conjunto 5 Chácara 89,24,Setor Habitacional Arniqueira (Águas Claras),71995315,Brasília,DF
TERRA VEGGIE CAFE LTDA,Avenida de São Francisco101,Jardim Santa Rosália,18095450,Sorocaba,SP
AART FRUTAS,ESTRADA PARA ITABELA  286,Trancoso,45818000,Porto Seguro,BA
Empório do Centro,Rua Virgílio Busnello393,Centro,06850,700,Itapecerica da Serra,SP
CARAVELLIS CAFE & CO. LTDA,Avenida Gisele Constantino1850,Parque Bela Vista,18110650,Votorantim,SP
Pedacim de Trem,Rua Lauro Linhares635,Trindade,88036001,Florianópolis,SC
Cafeteria Ducadu,10A AVENIDA RUBEM MELLO369,Centro,12850000,Bananal,SP
Uday Yoga,Rua São Sebastião131,Alto da Boa Vista,28979347,Araruama,RJ
Empório Santo Queijo Querência,Av Mato Grosso313,Centro,78643000,Querência,MT
CASA CONCEICAO ROTISSERIE E EMPORIO LTDA,Rua Santa Justina121,Vila Olímpia,04545040,São Paulo,SP
Affinis Cafeteria,Avenida Belarmino Cotta Pacheco1166,Santa Mônica,38408168,Uberlândia,MG
Armazém Carioca,Rua São João Batista26,Botafogo,22270030,Rio de Janeiro,RJ
EMPORIO MINEIRO EIRELI,Rua Rafael Nascimento300,Setor Central,75901290,Rio Verde,GO
NAYARA NAOMI NOGUEIRA 37012596821,Rua Elpídio Gomes447,Centro,14160080,Sertãozinho,SP
COMERCIO E CONF NORDESTINA,RUA PADRE MARINO541,SAO JOSE,37520000,Pedralva,MG
SANTA CREMA CAFE EIRELI,Rua João Wagner Wey831,Jardim América,18046695,Sorocaba,SP
